"Town","County","Crime Score"
"HERNE BAY","KENT",9.99162857142857
"ORPINGTON","KENT",9.98919444444445
"WADHURST","KENT",9.98677419354839
"ASCOT","SURREY",9.98482014388489
"FARNHAM","SURREY",9.96829045643154
"CHATHAM","KENT",9.96621052631579
"WHITSTABLE","KENT",9.96598382749326
"WARLINGHAM","SURREY",9.96408823529412
"REIGATE","SURREY",9.9602
"BETCHWORTH","SURREY",9.95491428571429
"LONGFIELD","KENT",9.93911341853035
"CATERHAM","SURREY",9.91185815602837
"GILLINGHAM","KENT",9.89688140556369
"EDENBRIDGE","KENT",9.88410414201183
"CRANLEIGH","SURREY",9.87804361702128
"OXTED","SURREY",9.87605128205128
"SWANLEY","KENT",9.85290446521288
"SURBITON","SURREY",9.82511405835544
"LINGFIELD","SURREY",9.82134042553191
"GODSTONE","SURREY",9.80520512820513
"GUILDFORD","SURREY",9.79069141531322
"DARTFORD","KENT",9.77209788681079
"DORKING","SURREY",9.76794195688226
"CANTERBURY","KENT",9.76197611339575
"SITTINGBOURNE","KENT",9.75352112676056
"BIRCHINGTON","KENT",9.75340909090909
"GODALMING","SURREY",9.74899678308824
"COULSDON","SURREY",9.7067
"TUNBRIDGE WELLS","KENT",9.64344070730803
"REDHILL","SURREY",9.49092529032258
"HORLEY","SURREY",9.3711218724778
"ROCHESTER","KENT",9.32085982478098
"MARGATE","KENT",2.82210427066001
