"Rank","Town/City","County","House Score","Download Score","Crime Score","School Score","Total Score"
1,"WARLINGHAM","SURREY",9.45,0.121,9.96408823529412,4.73,6.06627205882353
2,"DARTFORD","KENT",6.68405769230769,0.489,9.77209788681079,5.92142857142857,5.71664603763676
3,"WHITSTABLE","KENT",8.005,0.668,9.96598382749326,4.18,5.70474595687331
4,"ROCHESTER","KENT",7.19192631578947,0.72,9.32085982478098,4.9,5.53319653514261
5,"BIRCHINGTON","KENT",7.545,0.558,9.75340909090909,3.985,5.46035227272727
6,"SWANLEY","KENT",7.27285714285714,0.542,9.85290446521288,4.015,5.42069040201751
7,"TUNBRIDGE WELLS","KENT",6.14361111111111,0.703,9.64344070730803,4.3775,5.21688795460478
8,"CANTERBURY","KENT",6.12504611111111,0.637,9.76197611339575,3.46222222222222,4.99656111168227
9,"HORLEY","SURREY",5.22678571428571,0.643,9.3711218724778,4.64,4.97022689669088
10,"LINGFIELD","SURREY",6.014,0.476,9.82134042553191,3.495,4.95158510638298
11,"REDHILL","SURREY",6.44620206896552,1.063,9.49092529032258,2.71375,4.92846933982202
12,"DORKING","SURREY",5.56734090909091,0.716,9.76794195688226,3.5,4.88782071649329
13,"LONGFIELD","KENT",7.388,0.502,9.93911341853035,1.692,4.88027835463259
14,"FARNHAM","SURREY",3.88883333333333,1.097,9.96829045643154,4.22083333333333,4.79373928077455
15,"CATERHAM","SURREY",5.13333333333333,0.618,9.91185815602837,3.40625,4.76736037234043
16,"REIGATE","SURREY",3.32166666666667,0.634,9.9602,4.617,4.63321666666667
17,"CRANLEIGH","SURREY",4,0.536,9.87804361702128,3.425,4.45976090425532
18,"GODALMING","SURREY",4.42411111111111,0.619,9.74899678308824,2.80357142857143,4.39891983069269
19,"OXTED","SURREY",4.67357142857143,0.401,9.87605128205128,2.62166666666667,4.39307234432234
20,"GUILDFORD","SURREY",2.00085,0.836,9.79069141531322,3.92894736842105,4.13912219593357
21,"MARGATE","KENT",8.41593280487805,0.693,2.82210427066001,1.068,3.24975926888451
22,"SITTINGBOURNE","KENT",-7.20264705882353,0.966,9.75352112676056,4.05083333333333,1.89192685031759
