"Town/City","County","House Score"
"WARLINGHAM","SURREY",9.45
"MARGATE","KENT",8.41593280487805
"NEW ROMNEY","KENT",8.0584375
"ROMNEY MARSH","KENT",8.02142857142857
"WHITSTABLE","KENT",8.005
"AYLESFORD","KENT",7.94944444444444
"DEAL","KENT",7.74549236842105
"CAMBERLEY","SURREY",7.63759296296296
"BIRCHINGTON","KENT",7.545
"SWANSCOMBE","KENT",7.4546075
"WEST MALLING","KENT",7.43141833333333
"LONGFIELD","KENT",7.388
"WEST BYFLEET","SURREY",7.29576923076923
"SWANLEY","KENT",7.27285714285714
"DOVER","KENT",7.2198
"ROCHESTER","KENT",7.19192631578947
"FOLKESTONE","KENT",7.0925648
"WALTON-ON-THAMES","SURREY",7.00515208333333
"SANDWICH","KENT",6.88833333333333
"GRAVESEND","KENT",6.87293
"ALDERSHOT","SURREY",6.86883333333333
"GILLINGHAM","KENT",6.782
"DARTFORD","KENT",6.68405769230769
"TENTERDEN","KENT",6.65
"ADDLESTONE","SURREY",6.45104166666667
"REDHILL","SURREY",6.44620206896552
"MAIDSTONE","KENT",6.24274935064935
"ASHFORD","KENT",6.23105769230769
"SURBITON","SURREY",6.16875
"TUNBRIDGE WELLS","KENT",6.14361111111111
"LEATHERHEAD","SURREY",6.13743777777778
"CANTERBURY","KENT",6.12504611111111
"FAVERSHAM","KENT",6.11583333333333
"HYTHE","KENT",6.08666666666667
"WOKING","SURREY",6.04188524590164
"LINGFIELD","SURREY",6.014
"SEVENOAKS","KENT",5.98640302631579
"EPSOM","SURREY",5.96357142857143
"RAMSGATE","KENT",5.7050125
"DORKING","SURREY",5.56734090909091
"ESHER","SURREY",5.4242380952381
"HORSHAM","SURREY",5.26
"HORLEY","SURREY",5.22678571428571
"CATERHAM","SURREY",5.13333333333333
"TONBRIDGE","KENT",5.03936564516129
"EDENBRIDGE","KENT",4.861875
"OXTED","SURREY",4.67357142857143
"COULSDON","SURREY",4.63432142857143
"COBHAM","SURREY",4.5
"GODALMING","SURREY",4.42411111111111
"TADWORTH","SURREY",4.06861842105263
"CRANLEIGH","SURREY",4
"FARNHAM","SURREY",3.88883333333333
"REIGATE","SURREY",3.32166666666667
"EAST GRINSTEAD","SURREY",3.246875
"GODSTONE","SURREY",2.97666666666667
"CHERTSEY","SURREY",2.94095454545455
"WESTERHAM","KENT",2.28
"GUILDFORD","SURREY",2.00085
"BROADSTAIRS","KENT",1.47125
"EGHAM","SURREY",0.0597903225806444
"BETCHWORTH","SURREY",-1.3
"CRANBROOK","KENT",-2.51679446808511
"SITTINGBOURNE","KENT",-7.20264705882353
"SHEERNESS","KENT",-13.325
"STAINES-UPON-THAMES","SURREY",-151.987
