"Town","County","School Score"
"WEYBRIDGE","SURREY",6.18
"DARTFORD","KENT",5.92142857142857
"ESHER","SURREY",5.712
"CHERTSEY","SURREY",5.68333333333333
"HASLEMERE","SURREY",5.35
"SANDWICH","KENT",5.205
"SUNBURY-ON-THAMES","SURREY",5.11166666666667
"ASH","SURREY",5.06
"FAVERSHAM","KENT",4.9925
"TONBRIDGE","KENT",4.97222222222222
"STAINES","SURREY",4.91666666666667
"WYE","KENT",4.915
"ROCHESTER","KENT",4.9
"LEATHERHEAD","SURREY",4.761
"WARLINGHAM","SURREY",4.73
"EPSOM","SURREY",4.64357142857143
"HORLEY","SURREY",4.64
"REIGATE","SURREY",4.617
"BANSTEAD","SURREY",4.57
"ASHFORD","KENT",4.53555555555556
"MAIDSTONE","KENT",4.49103448275862
"GRAVESEND","KENT",4.47444444444444
"WILMINGTON","KENT",4.455
"SHEPPERTON","SURREY",4.4475
"TUNBRIDGE WELLS","KENT",4.3775
"SWANSCOMBE","KENT",4.355
"CAMBERLEY","SURREY",4.3
"STAINES-UPON-THAMES","SURREY",4.27
"FARNHAM","SURREY",4.22083333333333
"WHITSTABLE","KENT",4.18
"WESTGATE-ON-SEA","KENT",4.15
"SNODLAND","KENT",4.135
"WEST MALLING","KENT",4.12
"TENTERDEN","KENT",4.11
"FOLKESTONE","KENT",4.05111111111111
"SITTINGBOURNE","KENT",4.05083333333333
"HERNE BAY","KENT",4.03
"SWANLEY","KENT",4.015
"BIRCHINGTON","KENT",3.985
"GUILDFORD","SURREY",3.92894736842105
"HYTHE","KENT",3.875
"HADLOW","KENT",3.82
"WOKING","SURREY",3.81058823529412
"NEW ROMNEY","KENT",3.78
"AYLESFORD","KENT",3.74
"BROADSTAIRS","KENT",3.6775
"CRANBROOK","KENT",3.5525
"DOVER","KENT",3.50222222222222
"DORKING","SURREY",3.5
"LINGFIELD","SURREY",3.495
"CANTERBURY","KENT",3.46222222222222
"CRANLEIGH","SURREY",3.425
"CATERHAM","SURREY",3.40625
"HINDHEAD","SURREY",3.3825
"MINSTER-ON-SEA","KENT",3.2
"ADDLESTONE","SURREY",3.18777777777778
"COBHAM","SURREY",3.17
"RAMSGATE","KENT",3.112
"SEVENOAKS","KENT",2.91714285714286
"WALTON-ON-THAMES","SURREY",2.84666666666667
"GODALMING","SURREY",2.80357142857143
"REDHILL","SURREY",2.71375
"OXTED","SURREY",2.62166666666667
"LONGFIELD","KENT",1.692
"SURREY","SURREY",1.62
"ASHTEAD","SURREY",1.59
"DEAL","KENT",1.225
"MARGATE","KENT",1.068
"KENT","KENT",0.595
"TEYNHAM","KENT",0.23
"WESTERHAM","KENT",0.06
